userName;content;score
Winter Fox;Why is the owl like that? So scared;4
Baliji Muthyala naidu;👍👍👍👍👍👍👍👍👍;5
John Stephano;Facebook;5
honors ofkings;Yk why 4 stars THERE NO DUOLINGO MATH IN ANDROID EVEN WHEN I JOINED THE BETA!!!!;4
Mizanur Rahman;thus is very good and its has a lots of fun to learn. i just love it.;5
Nitish Kumar;very nice application;5
Aydan Devotta;I hate the 5 heart theory this game has, just let people learn endlessly without blocks, it is a service, and less of a business for us dedicated people.;3
Rajshree Pathak;this app is good but sometimes it doesn't use the audio so it is harder to complete question;4
Arsalan Farman;Bad ha;1
Narendra Singh Ranawat;This aap is wonderfull;5
Noelito Quizon;English or Spanish?;2
Rajesh Rai;ok;2
Mukti Rahman;I love dulingo because it's help me to learning English;5
Samantha Garcia;learn new language;4
Saksham Paliwal;bhot maja aa raha ha;5
Neha Aftab;thank u Duolingo thank you so much;5
Rajarajandevi;The app is so comfortable and fun learning english i improve my english too well and i am thank them😍;5
Colton;Ich muss Deutsch sprechen sonst erschießt mich der Vogel;5
Kavita Kadam;nice app and;5
Shuhrat Ibrohimov (Mafia);the best;5
Chan Ebalang;Wow so incredible! (Duolingo please let me out);5
Mayank Bari;I guess it's good;3
Ajay Verma;God platform for the learn english.;5
SurajSinghRajput;I love add free Duolingo every minute there is add I don't want thank you;1
Ashish Y T;Ashish Kümår;5
Umang Tyagi;nice 👍;5
MANORAMA MOHANTY;very good app i can learn Japanese language;5
Rudo Maritsa;It's creepy when your not using it;1
Simone de Villiers;You learn your language fast and it is not hard at all.;5
Tjvel Corpin;I love it i practice to learn german;5
Deysy Santos;really nice and fun place to learn a new language.;5
Aashi Rehmani;nicely I'm happy;5
Adil Ahamad;excellent;4
Daniel Schumacher;good app. however current app Avatar sucks horribly .;3
Sajal Verma;Nice app but I don't use;5
Vanna ITh;👍;5
Priya Kumari;very nice app;5
Z Z;"Well, I'm finally deleting my account after a 462 day streak. I know absolutely none of the language this supposedly ""taught"". Never gives any kind of tips, associations, or etymology to help learn vocabulary, never explains grammar, never gives literal translations, never gives any real repetition or actual practice, the list just goes on and on. They really make learning a new language a horrible experience.";1
Rhythm;good app;5
NYBN AFYA;it's teach me some new words;5
Komal Vishwa;best app to learn any language;4
Bubun Sarkar;best leaning app I have ever known, very colorful;5
Harry bhai ff;Love from filmymoji;5
Shiena Sola;this is a reliable source of learning language promise it helps me a lot;4
Pallavi Nautiyal;very easy to learn;5
Avinash kumar Tokada;It is a fun way to learn new language. Will definitely recommend it, if anyone is thinking to learn a new language.;5
Kajal Kumari;thank you bahut mast aap hai ye knowledge ke sath game ka bhi maza deta ha I;5
Amit Kumar;this app is very good for my sister and brother me also like this app because no one no English everyone no English today Hindi also know I am very happy in this app I request all of you please make more than this type of app because those children are not study who are study in this app like game types of study game please make sure you you make a new study games thank you this app for study my sister and brothers are not study but her study in this app thank you for this app most most thanks;5
Subhankar Das;Great for learning,listening and speaking;5
Karan Jadhav;🧠💵;5
Sumaiya Afrin;duolingo is a super game.i am verry happy.;5
Rishu kumar;best app for understand english;5
Santhoi Pinky;I Like it and it's language;5
Het Goswami;This app is good but there is to basic things to learn english but i know basic things I want to learn hard english;2
Revita Andyna Zhafira;game ini sangat seru dan membuat saya selalu ingin bermain duolingo Dan game ini sangat bermanfaat;5
Shakti singh Rajput;I like dis;4
Maryum Hameed;I get nice rumours about it;5
Eliger Itach;i enjoy 101 % .amazing;5
Mamta Kaushik;I 💕 love this app but the problem is that when I am earning enough xp for leaderboard but it doesn't show my rank getting high and I am in the same place and it's so irritating for me that's why I have given 4 stars otherwise all 👍 but rank get higher after sometime when I get completely irritated;4
